product_id,branch_id,quantity,transaction_date,unit_price,total_amount,payment_method,created_at
218,2,5,2025-10-27,79331.7,396658.5,gcash,2025-11-25 06:33:02.125872
219,2,1,2025-10-27,72445.7,72445.7,cash,2025-11-25 06:33:02.125872
220,2,1,2025-10-27,35169.3,35169.3,gcash,2025-11-25 06:33:02.125872
221,2,1,2025-10-27,146.16,146.16,cash,2025-11-25 06:33:02.125872
222,2,1,2025-10-27,387.56,387.56,gcash,2025-11-25 06:33:02.125872
223,2,1,2025-10-27,134.36,134.36,other,2025-11-25 06:33:02.125872
224,2,2,2025-10-27,1772.67,3545.34,cash,2025-11-25 06:33:02.125872
225,2,2,2025-10-27,10644.4,21288.8,other,2025-11-25 06:33:02.125872
226,2,1,2025-10-27,5503.97,5503.97,card,2025-11-25 06:33:02.125872
227,2,2,2025-10-27,3894.61,7789.22,other,2025-11-25 06:33:02.125872
228,2,2,2025-10-27,6788.35,13576.7,gcash,2025-11-25 06:33:02.125872
229,2,2,2025-10-27,8660.71,17321.42,card,2025-11-25 06:33:02.125872
230,2,1,2025-10-27,4408.76,4408.76,gcash,2025-11-25 06:33:02.125872
231,2,2,2025-10-27,4998.46,9996.92,cash,2025-11-25 06:33:02.125872
232,2,3,2025-10-27,4628.89,13886.670000000002,gcash,2025-11-25 06:33:02.125872
233,2,3,2025-10-27,2114.44,6343.32,gcash,2025-11-25 06:33:02.125872
234,2,1,2025-10-27,2078.6,2078.6,gcash,2025-11-25 06:33:02.125872
235,2,3,2025-10-27,1128.0,3384.0,card,2025-11-25 06:33:02.125872
236,2,1,2025-10-27,7286.91,7286.91,other,2025-11-25 06:33:02.125872
237,2,1,2025-10-27,6640.37,6640.37,gcash,2025-11-25 06:33:02.125872
239,2,1,2025-10-27,11510.9,11510.9,card,2025-11-25 06:33:02.125872
240,2,4,2025-10-27,4014.55,16058.2,gcash,2025-11-25 06:33:02.125872
241,2,2,2025-10-27,7546.45,15092.9,card,2025-11-25 06:33:02.125872
243,2,3,2025-10-27,2613.6,7840.799999999999,gcash,2025-11-25 06:33:02.125872
244,2,3,2025-10-27,3999.69,11999.07,gcash,2025-11-25 06:33:02.125872
245,2,1,2025-10-27,4972.98,4972.98,other,2025-11-25 06:33:02.125872
246,2,1,2025-10-27,2203.71,2203.71,gcash,2025-11-25 06:33:02.125872
247,2,4,2025-10-27,9460.08,37840.32,card,2025-11-25 06:33:02.125872
248,2,1,2025-10-27,7646.09,7646.09,card,2025-11-25 06:33:02.125872
250,2,1,2025-10-27,1376.35,1376.35,gcash,2025-11-25 06:33:02.125872
252,2,3,2025-10-27,947.24,2841.7200000000003,cash,2025-11-25 06:33:02.125872
253,2,3,2025-10-27,848.86,2546.58,card,2025-11-25 06:33:02.125872
254,2,3,2025-10-27,2664.43,7993.289999999999,gcash,2025-11-25 06:33:02.125872
256,2,1,2025-10-27,4278.46,4278.46,card,2025-11-25 06:33:02.125872
257,2,4,2025-10-27,5079.65,20318.6,gcash,2025-11-25 06:33:02.125872
258,2,1,2025-10-27,4561.77,4561.77,other,2025-11-25 06:33:02.125872
261,2,3,2025-10-27,4783.1,14349.300000000001,other,2025-11-25 06:33:02.125872
218,2,8,2025-10-28,79331.7,634653.6,cash,2025-11-25 06:33:02.125872
219,2,1,2025-10-28,72445.7,72445.7,gcash,2025-11-25 06:33:02.125872
220,2,1,2025-10-28,35169.3,35169.3,card,2025-11-25 06:33:02.125872
222,2,1,2025-10-28,387.56,387.56,other,2025-11-25 06:33:02.125872
223,2,5,2025-10-28,134.36,671.8000000000001,card,2025-11-25 06:33:02.125872
224,2,1,2025-10-28,1772.67,1772.67,other,2025-11-25 06:33:02.125872
225,2,1,2025-10-28,10644.4,10644.4,gcash,2025-11-25 06:33:02.125872
226,2,1,2025-10-28,5503.97,5503.97,gcash,2025-11-25 06:33:02.125872
228,2,1,2025-10-28,6788.35,6788.35,gcash,2025-11-25 06:33:02.125872
229,2,3,2025-10-28,8660.71,25982.129999999997,cash,2025-11-25 06:33:02.125872
230,2,4,2025-10-28,4408.76,17635.04,card,2025-11-25 06:33:02.125872
231,2,1,2025-10-28,4998.46,4998.46,gcash,2025-11-25 06:33:02.125872
232,2,1,2025-10-28,4628.89,4628.89,cash,2025-11-25 06:33:02.125872
233,2,2,2025-10-28,2114.44,4228.88,card,2025-11-25 06:33:02.125872
234,2,3,2025-10-28,2078.6,6235.799999999999,card,2025-11-25 06:33:02.125872
235,2,3,2025-10-28,1128.0,3384.0,card,2025-11-25 06:33:02.125872
236,2,1,2025-10-28,7286.91,7286.91,card,2025-11-25 06:33:02.125872
237,2,2,2025-10-28,6640.37,13280.74,other,2025-11-25 06:33:02.125872
238,2,1,2025-10-28,9473.08,9473.08,card,2025-11-25 06:33:02.125872
240,2,8,2025-10-28,4014.55,32116.4,card,2025-11-25 06:33:02.125872
243,2,3,2025-10-28,2613.6,7840.799999999999,card,2025-11-25 06:33:02.125872
244,2,2,2025-10-28,3999.69,7999.38,cash,2025-11-25 06:33:02.125872
245,2,2,2025-10-28,4972.98,9945.96,card,2025-11-25 06:33:02.125872
246,2,2,2025-10-28,2203.71,4407.42,card,2025-11-25 06:33:02.125872
249,2,2,2025-10-28,5086.05,10172.1,gcash,2025-11-25 06:33:02.125872
250,2,3,2025-10-28,1376.35,4129.049999999999,cash,2025-11-25 06:33:02.125872
251,2,1,2025-10-28,1211.9,1211.9,card,2025-11-25 06:33:02.125872
252,2,2,2025-10-28,947.24,1894.48,gcash,2025-11-25 06:33:02.125872
253,2,4,2025-10-28,848.86,3395.44,other,2025-11-25 06:33:02.125872
254,2,2,2025-10-28,2664.43,5328.86,card,2025-11-25 06:33:02.125872
257,2,2,2025-10-28,5079.65,10159.3,card,2025-11-25 06:33:02.125872
258,2,1,2025-10-28,4561.77,4561.77,gcash,2025-11-25 06:33:02.125872
259,2,3,2025-10-28,955.92,2867.7599999999998,cash,2025-11-25 06:33:02.125872
261,2,3,2025-10-28,4783.1,14349.300000000001,other,2025-11-25 06:33:02.125872
218,2,1,2025-10-29,79331.7,79331.7,card,2025-11-25 06:33:02.125872
220,2,1,2025-10-29,35169.3,35169.3,gcash,2025-11-25 06:33:02.125872
221,2,1,2025-10-29,146.16,146.16,card,2025-11-25 06:33:02.125872
222,2,1,2025-10-29,387.56,387.56,other,2025-11-25 06:33:02.125872
223,2,2,2025-10-29,134.36,268.72,card,2025-11-25 06:33:02.125872
224,2,1,2025-10-29,1772.67,1772.67,gcash,2025-11-25 06:33:02.125872
225,2,4,2025-10-29,10644.4,42577.6,gcash,2025-11-25 06:33:02.125872
226,2,1,2025-10-29,5503.97,5503.97,gcash,2025-11-25 06:33:02.125872
228,2,1,2025-10-29,6788.35,6788.35,gcash,2025-11-25 06:33:02.125872
229,2,2,2025-10-29,8660.71,17321.42,other,2025-11-25 06:33:02.125872
230,2,3,2025-10-29,4408.76,13226.28,card,2025-11-25 06:33:02.125872
231,2,2,2025-10-29,4998.46,9996.92,gcash,2025-11-25 06:33:02.125872
232,2,3,2025-10-29,4628.89,13886.670000000002,cash,2025-11-25 06:33:02.125872
233,2,2,2025-10-29,2114.44,4228.88,other,2025-11-25 06:33:02.125872
234,2,1,2025-10-29,2078.6,2078.6,cash,2025-11-25 06:33:02.125872
235,2,2,2025-10-29,1128.0,2256.0,gcash,2025-11-25 06:33:02.125872
236,2,2,2025-10-29,7286.91,14573.82,cash,2025-11-25 06:33:02.125872
237,2,5,2025-10-29,6640.37,33201.85,gcash,2025-11-25 06:33:02.125872
238,2,1,2025-10-29,9473.08,9473.08,other,2025-11-25 06:33:02.125872
239,2,1,2025-10-29,11510.9,11510.9,gcash,2025-11-25 06:33:02.125872
243,2,3,2025-10-29,2613.6,7840.799999999999,card,2025-11-25 06:33:02.125872
244,2,4,2025-10-29,3999.69,15998.76,cash,2025-11-25 06:33:02.125872
245,2,1,2025-10-29,4972.98,4972.98,card,2025-11-25 06:33:02.125872
246,2,1,2025-10-29,2203.71,2203.71,gcash,2025-11-25 06:33:02.125872
247,2,2,2025-10-29,9460.08,18920.16,other,2025-11-25 06:33:02.125872
248,2,1,2025-10-29,7646.09,7646.09,cash,2025-11-25 06:33:02.125872
249,2,2,2025-10-29,5086.05,10172.1,cash,2025-11-25 06:33:02.125872
250,2,1,2025-10-29,1376.35,1376.35,card,2025-11-25 06:33:02.125872
251,2,1,2025-10-29,1211.9,1211.9,cash,2025-11-25 06:33:02.125872
252,2,2,2025-10-29,947.24,1894.48,card,2025-11-25 06:33:02.125872
253,2,3,2025-10-29,848.86,2546.58,other,2025-11-25 06:33:02.125872
254,2,5,2025-10-29,2664.43,13322.15,cash,2025-11-25 06:33:02.125872
258,2,1,2025-10-29,4561.77,4561.77,cash,2025-11-25 06:33:02.125872
259,2,1,2025-10-29,955.92,955.92,other,2025-11-25 06:33:02.125872
260,2,1,2025-10-29,4692.72,4692.72,gcash,2025-11-25 06:33:02.125872
261,2,4,2025-10-29,4783.1,19132.4,gcash,2025-11-25 06:33:02.125872
218,2,5,2025-10-30,79331.7,396658.5,other,2025-11-25 06:33:02.125872
219,2,1,2025-10-30,72445.7,72445.7,cash,2025-11-25 06:33:02.125872
221,2,1,2025-10-30,146.16,146.16,gcash,2025-11-25 06:33:02.125872
222,2,1,2025-10-30,387.56,387.56,gcash,2025-11-25 06:33:02.125872
224,2,2,2025-10-30,1772.67,3545.34,other,2025-11-25 06:33:02.125872
225,2,5,2025-10-30,10644.4,53222.0,card,2025-11-25 06:33:02.125872
227,2,3,2025-10-30,3894.61,11683.83,other,2025-11-25 06:33:02.125872
228,2,3,2025-10-30,6788.35,20365.050000000003,gcash,2025-11-25 06:33:02.125872
229,2,3,2025-10-30,8660.71,25982.129999999997,gcash,2025-11-25 06:33:02.125872
230,2,3,2025-10-30,4408.76,13226.28,cash,2025-11-25 06:33:02.125872
232,2,5,2025-10-30,4628.89,23144.45,cash,2025-11-25 06:33:02.125872
233,2,1,2025-10-30,2114.44,2114.44,gcash,2025-11-25 06:33:02.125872
236,2,2,2025-10-30,7286.91,14573.82,gcash,2025-11-25 06:33:02.125872
237,2,3,2025-10-30,6640.37,19921.11,cash,2025-11-25 06:33:02.125872
239,2,1,2025-10-30,11510.9,11510.9,gcash,2025-11-25 06:33:02.125872
240,2,1,2025-10-30,4014.55,4014.55,other,2025-11-25 06:33:02.125872
241,2,1,2025-10-30,7546.45,7546.45,card,2025-11-25 06:33:02.125872
243,2,4,2025-10-30,2613.6,10454.4,gcash,2025-11-25 06:33:02.125872
244,2,1,2025-10-30,3999.69,3999.69,gcash,2025-11-25 06:33:02.125872
245,2,1,2025-10-30,4972.98,4972.98,gcash,2025-11-25 06:33:02.125872
246,2,1,2025-10-30,2203.71,2203.71,cash,2025-11-25 06:33:02.125872
248,2,2,2025-10-30,7646.09,15292.18,cash,2025-11-25 06:33:02.125872
250,2,1,2025-10-30,1376.35,1376.35,card,2025-11-25 06:33:02.125872
251,2,1,2025-10-30,1211.9,1211.9,card,2025-11-25 06:33:02.125872
252,2,2,2025-10-30,947.24,1894.48,other,2025-11-25 06:33:02.125872
253,2,3,2025-10-30,848.86,2546.58,cash,2025-11-25 06:33:02.125872
254,2,3,2025-10-30,2664.43,7993.289999999999,other,2025-11-25 06:33:02.125872
257,2,1,2025-10-30,5079.65,5079.65,card,2025-11-25 06:33:02.125872
259,2,3,2025-10-30,955.92,2867.7599999999998,other,2025-11-25 06:33:02.125872
261,2,2,2025-10-30,4783.1,9566.2,cash,2025-11-25 06:33:02.125872
218,2,8,2025-10-31,79331.7,634653.6,card,2025-11-25 06:33:02.125872
221,2,2,2025-10-31,146.16,292.32,cash,2025-11-25 06:33:02.125872
222,2,1,2025-10-31,387.56,387.56,card,2025-11-25 06:33:02.125872
224,2,1,2025-10-31,1772.67,1772.67,gcash,2025-11-25 06:33:02.125872
225,2,2,2025-10-31,10644.4,21288.8,other,2025-11-25 06:33:02.125872
227,2,2,2025-10-31,3894.61,7789.22,card,2025-11-25 06:33:02.125872
228,2,4,2025-10-31,6788.35,27153.4,other,2025-11-25 06:33:02.125872
229,2,1,2025-10-31,8660.71,8660.71,cash,2025-11-25 06:33:02.125872
230,2,1,2025-10-31,4408.76,4408.76,other,2025-11-25 06:33:02.125872
232,2,1,2025-10-31,4628.89,4628.89,other,2025-11-25 06:33:02.125872
233,2,3,2025-10-31,2114.44,6343.32,other,2025-11-25 06:33:02.125872
234,2,3,2025-10-31,2078.6,6235.799999999999,card,2025-11-25 06:33:02.125872
235,2,2,2025-10-31,1128.0,2256.0,gcash,2025-11-25 06:33:02.125872
236,2,1,2025-10-31,7286.91,7286.91,cash,2025-11-25 06:33:02.125872
237,2,2,2025-10-31,6640.37,13280.74,gcash,2025-11-25 06:33:02.125872
238,2,3,2025-10-31,9473.08,28419.239999999998,card,2025-11-25 06:33:02.125872
239,2,1,2025-10-31,11510.9,11510.9,card,2025-11-25 06:33:02.125872
240,2,4,2025-10-31,4014.55,16058.2,other,2025-11-25 06:33:02.125872
241,2,1,2025-10-31,7546.45,7546.45,card,2025-11-25 06:33:02.125872
242,2,1,2025-10-31,5588.69,5588.69,other,2025-11-25 06:33:02.125872
243,2,3,2025-10-31,2613.6,7840.799999999999,card,2025-11-25 06:33:02.125872
244,2,4,2025-10-31,3999.69,15998.76,card,2025-11-25 06:33:02.125872
245,2,1,2025-10-31,4972.98,4972.98,gcash,2025-11-25 06:33:02.125872
246,2,2,2025-10-31,2203.71,4407.42,other,2025-11-25 06:33:02.125872
247,2,1,2025-10-31,9460.08,9460.08,card,2025-11-25 06:33:02.125872
248,2,1,2025-10-31,7646.09,7646.09,other,2025-11-25 06:33:02.125872
249,2,1,2025-10-31,5086.05,5086.05,cash,2025-11-25 06:33:02.125872
250,2,1,2025-10-31,1376.35,1376.35,card,2025-11-25 06:33:02.125872
251,2,1,2025-10-31,1211.9,1211.9,card,2025-11-25 06:33:02.125872
253,2,1,2025-10-31,848.86,848.86,other,2025-11-25 06:33:02.125872
254,2,4,2025-10-31,2664.43,10657.72,other,2025-11-25 06:33:02.125872
259,2,4,2025-10-31,955.92,3823.68,other,2025-11-25 06:33:02.125872
261,2,3,2025-10-31,4783.1,14349.300000000001,cash,2025-11-25 06:33:02.125872
218,2,7,2025-11-01,79331.7,555321.9,other,2025-11-25 06:33:02.125872
220,2,2,2025-11-01,35169.3,70338.6,gcash,2025-11-25 06:33:02.125872
221,2,2,2025-11-01,146.16,292.32,gcash,2025-11-25 06:33:02.125872
224,2,6,2025-11-01,1772.67,10636.02,card,2025-11-25 06:33:02.125872
225,2,1,2025-11-01,10644.4,10644.4,gcash,2025-11-25 06:33:02.125872
228,2,2,2025-11-01,6788.35,13576.7,other,2025-11-25 06:33:02.125872
